epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,5453.35,0.97645,0.70453,1.12953,0.69521,0.63941,0.68716,0.4256,1.64946,1.12682,1.7442,0.0042085,0.0042085,0.0042085
119,5497.91,0.99076,0.71667,1.13755,0.69753,0.73095,0.7086,0.44873,1.68324,1.06589,1.78417,0.004159,0.004159,0.004159
120,5551.65,0.99405,0.72079,1.13924,0.67628,0.7082,0.71319,0.44117,1.6441,1.0059,1.72152,0.0041095,0.0041095,0.0041095
121,5591.34,0.97789,0.71048,1.12671,0.67909,0.73925,0.70991,0.43768,1.65213,1.07025,1.72706,0.00406,0.00406,0.00406
122,5646.82,0.99891,0.73178,1.14482,0.72602,0.68622,0.72447,0.43225,1.67174,1.08899,1.76359,0.0040105,0.0040105,0.0040105
123,5684.26,0.96764,0.71262,1.1228,0.69662,0.67772,0.69717,0.41091,1.70111,1.12303,1.8088,0.003961,0.003961,0.003961
124,5738.14,0.98374,0.71309,1.1343,0.68193,0.68513,0.68018,0.41575,1.71115,1.09827,1.81519,0.0039115,0.0039115,0.0039115
125,5794.81,0.97456,0.70537,1.1226,0.70049,0.64531,0.68439,0.42772,1.70998,1.08385,1.78564,0.003862,0.003862,0.003862
126,5836.78,0.98322,0.70705,1.13346,0.64973,0.71229,0.69852,0.41912,1.68455,1.12737,1.84126,0.0038125,0.0038125,0.0038125
127,5874.24,0.95603,0.68803,1.11927,0.6825,0.65648,0.70379,0.42791,1.66224,1.10717,1.7551,0.003763,0.003763,0.003763
128,5916.34,0.96776,0.69386,1.12254,0.67779,0.72864,0.71484,0.44188,1.68293,1.11253,1.75346,0.0037135,0.0037135,0.0037135
129,5962.94,0.97332,0.70203,1.12765,0.63976,0.71516,0.71052,0.43531,1.67825,1.14328,1.77711,0.003664,0.003664,0.003664
130,6005.08,0.95406,0.68983,1.11238,0.6442,0.7562,0.73191,0.46116,1.67882,1.05474,1.78506,0.0036145,0.0036145,0.0036145
131,6048.8,0.96519,0.69676,1.11793,0.65338,0.73188,0.68306,0.41075,1.68876,1.03768,1.78581,0.003565,0.003565,0.003565
132,6095.16,0.95533,0.67741,1.10965,0.69852,0.71608,0.7127,0.43892,1.67564,1.08718,1.77193,0.0035155,0.0035155,0.0035155
133,6137.17,0.94459,0.68115,1.10726,0.71248,0.68289,0.68902,0.4224,1.72856,1.14584,1.81315,0.003466,0.003466,0.003466
134,6175.99,0.94474,0.67224,1.11021,0.7143,0.72482,0.72924,0.44148,1.72598,1.08205,1.83856,0.0034165,0.0034165,0.0034165
135,6222.39,0.94019,0.66397,1.10475,0.67991,0.73945,0.73108,0.43337,1.81848,1.10726,1.90749,0.003367,0.003367,0.003367
136,6264.58,0.93168,0.65986,1.10066,0.71607,0.73312,0.74075,0.46651,1.69678,1.07264,1.74933,0.0033175,0.0033175,0.0033175
137,6307.48,0.94249,0.68107,1.11071,0.67349,0.74354,0.7237,0.43634,1.72053,1.06606,1.81686,0.003268,0.003268,0.003268
138,6349.43,0.93729,0.66092,1.09378,0.70072,0.69146,0.73049,0.44021,1.76128,1.10408,1.91006,0.0032185,0.0032185,0.0032185
139,6403.44,0.93335,0.6715,1.11243,0.71835,0.67607,0.73966,0.44482,1.74458,1.10516,1.80697,0.003169,0.003169,0.003169
140,6442.29,0.93494,0.66775,1.10384,0.75304,0.64715,0.73109,0.44138,1.74245,1.13972,1.79032,0.0031195,0.0031195,0.0031195
141,6484.19,0.91576,0.6531,1.09673,0.70824,0.72823,0.7164,0.4356,1.70317,1.09611,1.77507,0.00307,0.00307,0.00307
142,6538.15,0.92475,0.64563,1.09624,0.71071,0.7082,0.7402,0.45015,1.70073,1.00647,1.83615,0.0030205,0.0030205,0.0030205
143,6595.2,0.9249,0.65633,1.09642,0.65099,0.7551,0.71832,0.45137,1.62547,1.07111,1.74353,0.002971,0.002971,0.002971
144,6641.63,0.91024,0.6465,1.09685,0.72012,0.74578,0.72879,0.43846,1.74039,1.08354,1.8473,0.0029215,0.0029215,0.0029215
145,6679.04,0.90579,0.63768,1.08385,0.64148,0.72302,0.70027,0.43246,1.68961,1.10427,1.82293,0.002872,0.002872,0.002872
146,6734.44,0.91405,0.64951,1.09402,0.70109,0.69877,0.71436,0.44793,1.69346,1.06787,1.80408,0.0028225,0.0028225,0.0028225
147,6781.09,0.91449,0.64444,1.08997,0.73246,0.65799,0.70305,0.43865,1.70623,1.08861,1.83874,0.002773,0.002773,0.002773
148,6823.19,0.9052,0.63642,1.08271,0.70251,0.71437,0.73214,0.44176,1.6622,1.09379,1.80204,0.0027235,0.0027235,0.0027235
149,6866.3,0.90757,0.64707,1.08908,0.66528,0.73945,0.73536,0.44839,1.68797,1.01332,1.84097,0.002674,0.002674,0.002674
150,6908.24,0.89627,0.63248,1.08764,0.69686,0.7198,0.69977,0.42692,1.6935,1.07107,1.8532,0.0026245,0.0026245,0.0026245
151,6950.22,0.89514,0.63309,1.07848,0.69819,0.67664,0.72172,0.4348,1.70501,1.01288,1.89343,0.002575,0.002575,0.002575
152,7006.9,0.90084,0.63813,1.08449,0.63828,0.72903,0.72261,0.45348,1.69049,1.04809,1.83323,0.0025255,0.0025255,0.0025255
153,7048.52,0.89103,0.62113,1.07548,0.67489,0.74491,0.72386,0.43706,1.77431,1.06289,1.87362,0.002476,0.002476,0.002476
154,7105.32,0.90054,0.63359,1.07953,0.70865,0.68921,0.71836,0.43826,1.70051,1.13228,1.80261,0.0024265,0.0024265,0.0024265
155,7162.78,0.88176,0.61846,1.07772,0.70967,0.73609,0.73811,0.46172,1.69846,1.00375,1.81593,0.002377,0.002377,0.002377
